Feature ID	Taxon	Confidence
b13d7b642a69f3bc3b8d7f4e6aba0205	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005	0.9997652463020982
5afef9c3934a3fd690f59a2675b17ad2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Oceanobacillus	0.9683962241294507
74af2817425cd2e842aa3ef60e6f54bf	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Puniceicoccaceae; g__Cerasicoccus; s__uncultured_bacterium	0.8913860921932107
36d14d08ecabd62f3b202c811abccfa1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__gut_metagenome	0.9881434384965516
47085e3c4d82d94df39fe6519aae94d5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Falsochrobactrum	0.7409832298038115
ce9665bddfb3d011618d622e5ea7cf5e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter	0.9605185125652724
2391352beae20294ab1bbd423c03e92c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__gut_metagenome	0.8031987087961485
ca3a12f5eaccca9aa25853a1ab844f63	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema_berlinense	0.9999999876078364
9582fcb25c540da2db6cd9189f4ddf5c	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Virgibacillus; s__uncultured_bacterium	0.9229583577784317
cca4f56fe659395d7848e8f9b1019dac	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium	0.9994189249520455
60f1d2183c3663fc8d385631d75616ff	d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__WCHB1-41; f__WCHB1-41; g__WCHB1-41; s__uncultured_bacterium	0.9995531563079242
37afc484bc43bc072162eeb576c474f9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-004; s__uncultured_bacterium	0.9999999999468514
bdbefdad98fb1a9d5b63bea068b4db17	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__p-251-o5; g__p-251-o5; s__uncultured_bacterium	0.9999766231200312
ad458379d0cf75108b5ec87d3eb8c925	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005; s__uncultured_Ruminococcaceae	0.773326756500214
1be99e545d159b8da84129d7b2db1d77	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uncultured_Bacteroides	0.8608175135130253
82f34c8203955a7c74ded2cd41c50627	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	0.9970570342015685
86863c6fe76ad10ff535a9454b65006a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus	0.9583226560959077
2063244dcedc076f05035725b4a1cad6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_UCG-001; g__Bacteroidales_UCG-001; s__uncultured_rumen	0.7978941589487254
ceb3f2277755ca82b8828e0205411984	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia	0.7376218059404812
8329871210cb24641d6ebd970e1408d8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella	0.9999999999199174
a6cd3704b9d621add77f9305332721eb	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__Treponema_succinifaciens	0.9999999991334789
